My Hero Academia 3,opening,"ODD FUTURE" by UVERworld
My Hero Academia 3,ending,"Update (アップデート)" by miwa
Steins;Gate 0,opening,"Fatima (ファティマ)" by Itou Kanako (eps 2-)
Steins;Gate 0,ending,#1: "Amadeus" by Kanako Itou (ep 1)
Steins;Gate 0,ending,#2: "LAST GAME" by Zwei (eps 2-)
