Cowboy Bebop,"Black, Jet",Main,"Ishizuka, Unshou"
Cowboy Bebop,"Spiegel, Spike",Main,"Yamadera, Kouichi"
Cowboy Bebop,"Valentine, Faye",Main,"Hayashibara, Megumi"
Cowboy Bebop,"Wong Hau Pepelu Tivrusky IV, Edward",Main,"Fahn, Melissa"
Cowboy Bebop,"Actress",Supporting,"Horie, Yui"
Cowboy Bebop,"Alisa",Supporting,"Doi, Mika"
Cowboy Bebop,"Amjad",Supporting,"Tsuji, Shinpachi"
Cowboy Bebop,"Angel",Supporting,"Kojima, Sachiko"
Cowboy Bebop,"Annie",Supporting,"Ichijou, Miyuki"
Cowboy Bebop,"Antonio",Supporting,"Seymour, Kevin"
Cowboy Bebop,"Bartender A",Supporting,"Chou, Katsumi"
Cowboy Bebop,"Bartender B",Supporting,"Chiba, Isshin"
Cowboy Bebop,"Bartender C",Supporting,"Houki, Katsuhisa"
Cowboy Bebop,"Bob",Supporting,"Snyder, John"
Cowboy Bebop,"Bonnaro, Rocco",Supporting,"Nakao, Ryuusei"
Cowboy Bebop,"Bonnaro, Stella",Supporting,"Sakamoto, Maaya"
Cowboy Bebop,"Bower, Ted",Supporting,"Wyner, Tom"
Cowboy Bebop,"Bum",Supporting,"Wyner, Tom"
Cowboy Bebop,"Calvino, Piccaro ",Supporting,"Papenbrook, Bob"
Cowboy Bebop,"Carlos",Supporting,"Kramer, Steve"
Cowboy Bebop,"Celonias, Rhint",Supporting,"Yamaguchi, Kappei"
Cowboy Bebop,"Chief Minister",Supporting,"Tahara, Aruno"
Cowboy Bebop,"Coffee",Supporting,"Tanaka, Atsuko"
Cowboy Bebop,"Curio Shop Owner",Supporting,"Kramer, Steve"
Cowboy Bebop,"Decker",Supporting,"Lindsay, Michael"
Cowboy Bebop,"Dewey",Supporting,"McGlynn, Mary Elizabeth"
Cowboy Bebop,"Dig",Supporting,"Shimaka, Yuu"
Cowboy Bebop,"Doctor",Supporting,"Fujimoto, Yuzuru"
